year,persons_in_LAR,data_or_assumption
1972,0,data
1973,0,data
1974,0,data
1975,0,data
1976,0,data
1977,0,data
1978,0,data
1979,0,data
1980,0,data
1981,0,data
1982,0,data
1983,0,data
1984,0,data
1985,0,data
1986,0,data
1987,0,data
1988,0,data
1989,0,data
1990,0,data
1991,0,data
1992,0,data
1993,0,data
1994,0,data
1995,0,data
1996,0,data
1997,0,data
1998,204,data
1999,719,data
2000,1074,data
2001,1503,data
2002,1984,data
2003,2431,data
2004,3003,data
2005,3614,data
2006,4166,data
2007,4542,data
2008,4913,data
2009,5383,data
2010,6015,data
2011,6640,data
2012,7038,data
2013,7055,data
2014,7433,data
2015,7445,data
2016,7554,data
2017,7622,data
2018,7762,data
2019,7900,data
2020,8099,data
2021,8191,data
2022,8315,data